id,latitud,longitud
253,20.6731682,-103.3826893
254,20.67848,-103.365103
255,20.6841645,-103.3648293
256,20.6639862,-103.3480775
257,20.659581,-103.324147
258,20.66318,-103.32942
259,20.66429,-103.3628
260,20.67284,-103.34718
261,20.70928,-103.37015
262,20.6692,-103.34116
263,20.6708,-103.34385
264,20.6744,-103.34123
265,20.70656,-103.36564
266,20.70211,-103.35996
267,20.65048,-103.30999
268,20.67529,-103.34656
269,20.68361,-103.33756
270,20.64517,-103.30313
271,20.68504,-103.34796
272,20.6891,-103.34806
273,20.69406,-103.34824
274,20.69442,-103.34474
275,20.69898,-103.34893
276,20.70046,-103.35478
277,20.6651,-103.36807
278,20.66265,-103.36554
279,20.66231,-103.36011
280,20.66563,-103.35802
281,20.66081,-103.35704
282,20.6605183,-103.3503245
283,20.65775,-103.35132
284,20.65883,-103.35468
285,20.70047,-103.36158
286,20.73231,-103.38763
287,20.73076,-103.38861
288,20.72958,-103.38859
289,20.7178,-103.38338
290,20.73432,-103.38427
291,20.73837,-103.38057
292,20.73245,-103.39291
293,20.73836,-103.38299
294,20.73441,-103.38079
295,20.73154,-103.38515
296,20.71365,-103.37742
302,20.639187,-103.3086
